institution;period;doi;is_hybrid;agreement
ETH Zurich ;2024;10.1039/D4EE00296B;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4EM00431K;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4EM00444B;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4EN00286E;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4FD00060A;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4FD00139G;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4FD00160E;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4GC00392F;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4GC00394B;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4GC02594F;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4JA00058G;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4JA00301B;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4JA00323C;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4JA00327F;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4LC00390J;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4LC00440J;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4LC00657G;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4ME00127C;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4MH00301B;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4MH01007H;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4NR00816B;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4SM00122B;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4SM00604F;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4TB00807C;TRUE;Swiss Consortium RSC agreement
ETH Zurich ;2024;10.1039/D4TC01868K;TRUE;Swiss Consortium RSC agreement
University of Applied Sciences and Arts Northwestern Switzerland;2024;10.1039/D3NR06044F;TRUE;Swiss Consortium RSC agreement
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2024;10.1039/D3EW00541K;TRUE;Swiss Consortium RSC agreement
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2024;10.1039/D3EW00787A;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D3JA00399J;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D3NR05463B;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D3TA06889G;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D3TA07274F;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D4GC03108C;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D4PY00964A;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D4TA04539D;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D4TA05112B;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D4TA06160H;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D4TC00791C;TRUE;Swiss Consortium RSC agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;2024;10.1039/D4TC02369B;TRUE;Swiss Consortium RSC agreement
PSI - Paul Scherrer Institute;2024;10.1039/D3TA06156F;TRUE;Swiss Consortium RSC agreement
PSI - Paul Scherrer Institute;2024;10.1039/D3TA07212F;TRUE;Swiss Consortium RSC agreement
PSI - Paul Scherrer Institute;2024;10.1039/D4CP02129K;TRUE;Swiss Consortium RSC agreement
PSI - Paul Scherrer Institute;2024;10.1039/D4CP03015J;TRUE;Swiss Consortium RSC agreement
PSI - Paul Scherrer Institute;2024;10.1039/D4GC03143A;TRUE;Swiss Consortium RSC agreement
University of Applied Sciences and Arts Western Switzerland;2024;10.1039/D4DT01643B;TRUE;Swiss Consortium RSC agreement
