institution;period;doi;is_hybrid;agreement;Delivered to Open APC (date)
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2020;10.1016/j.envsci.2021.09.005;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2020;10.1016/j.gca.2021.04.006;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2020;10.1016/j.respol.2021.104363;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2020;10.1016/j.rse.2021.112482;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2020;10.1016/j.watres.2021.117017;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2020;10.1016/j.watres.2021.117050;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2020;10.1016/j.watres.2021.117209;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2020;10.1016/j.watres.2021.117225;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.acha.2021.07.002;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.actamat.2021.117055;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.actamat.2021.117119;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.addr.2021.05.002;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.aei.2021.101289;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.aei.2021.101367;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.artmed.2021.102084;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.asr.2021.03.019;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.biomaterials.2021.120889;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.biotri.2021.100181;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.cam.2021.113610;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.camwa.2021.03.007;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.cbpa.2021.01.007;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.cemconres.2022.106734;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.cma.2021.113762;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.cognition.2021.104709;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.compgeo.2021.104103;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.compstruct.2021.114047;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.csbj.2021.04.050;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.dam.2022.02.014;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.earscirev.2021.103724;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.energy.2021.123086;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.engstruct.2020.111659;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.engstruct.2021.112188;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.fusengdes.2021.112457;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.geothermics.2021.102132;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.ijfatigue.2021.106216;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.ijpharm.2021.120664;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.ijrmms.2021.104747;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jcp.2020.110034;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jcpx.2021.100089;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jde.2021.05.057;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jfineco.2021.06.023;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jfluidstructs.2021.103304;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jii.2021.100263;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jmps.2021.104378;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jmsy.2021.03.021;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jocm.2021.100323;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jpaa.2021.106770;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.neurobiolaging.2021.06.002;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.nucengdes.2021.111178;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.nucengdes.2021.111422;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.optcom.2021.126968;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.pnucene.2021.103805;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.precisioneng.2021.06.003;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.renene.2021.02.059;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.resconrec.2021.105711;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.retram.2021.103299;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.robot.2021.103849;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.schres.2021.03.014;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.scs.2021.102959;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.segan.2021.100496;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.seppur.2021.119172;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.solmat.2021.111008;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.spa.2021.09.013;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.spl.2021.109147;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.tcs.2022.02.008;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trb.2021.05.008;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trb.2021.11.005;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trc.2021.103010;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trc.2021.103067;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trc.2021.103082;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trc.2021.103157;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trc.2021.103259;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trc.2021.103373;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trc.2021.103384;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.trd.2021.102859;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.wear.2021.203648;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.ymben.2021.03.003;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.ymssp.2021.107981;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
École Polytechnique Fédérale de Lausanne;2020;10.1016/j.jcp.2021.110666;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.actamat.2021.116940;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.agrformet.2021.108722;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.buildenv.2021.107778;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.cemconres.2021.106438;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.ces.2021.116448;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.colsurfb.2021.111940;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.compstruct.2021.113816;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.conbuildmat.2021.123102;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.engfailanal.2021.105397;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.engstruct.2021.112467;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.engstruct.2021.112827;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.engstruct.2021.113231;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.enpol.2022.112794;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.ijheatmasstransfer.2021.121813;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.impact.2021.100312;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.impact.2021.100335;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.jclepro.2021.127796;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.jclepro.2021.129690;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.matdes.2020.108907;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.matdes.2021.109710;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.polymer.2021.123634;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.resconrec.2021.105619;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.resconrec.2021.105733;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.sab.2021.106214;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.scs.2021.103068;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
Empa - Swiss Federal Laboratories for Materials Science and Technology;2020;10.1016/j.susmat.2021.e00295;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ab.2021.114195;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.actamat.2021.116877;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.addma.2021.101998;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.addma.2021.102119;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.advwatres.2021.103936;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.agrformet.2021.108485;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.agwat.2021.107082;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.aim.2021.107776;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.anifeedsci.2020.114790;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.animal.2021.100333;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.anucene.2021.108258;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.apenergy.2021.116990;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.appet.2021.105622;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ascom.2021.100484;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.autcon.2021.103686;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.autcon.2021.103783;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.autcon.2021.103799;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.autcon.2021.103880;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.automatica.2021.109754;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.automatica.2021.109790;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.automatica.2021.110052;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.biocon.2021.109121;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.biomaterials.2021.120779;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.biomaterials.2021.120816;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.biotechadv.2021.107780;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.bone.2021.115930;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.bone.2021.116219;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.bulsci.2021.103095;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.cacint.2021.100078;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.cad.2021.103030;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.cattod.2021.04.010;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ccr.2021.213967;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.cej.2020.126110;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ces.2021.116863;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ces.2021.116891;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.chemgeo.2021.120397;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.cie.2021.107475;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.cma.2021.113852;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.comgeo.2021.101775;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.compchemeng.2021.107321;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.compchemeng.2021.107406;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.compenvurbsys.2021.101660;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.compstruct.2021.113946;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.conbuildmat.2021.123851;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.copbio.2021.02.006;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.crm.2021.100315;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.crm.2021.100321;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.csbj.2021.06.001;FALSE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.csda.2022.107435;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.dmpk.2021.100400;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.earscirev.2021.103640;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.earscirev.2022.103966;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ecolecon.2021.107047;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ecolecon.2021.107064;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ecolecon.2021.107116;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ecolecon.2021.107169;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ecolecon.2021.107237;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.econlet.2021.109803;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.econmod.2021.105653;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ecoser.2020.101240;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.eist.2021.04.006;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.eja.2021.126448;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ejor.2022.02.043;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.eneco.2021.105585;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.enggeo.2021.106169;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.engstruct.2021.112367;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.engstruct.2021.112380;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.enpol.2021.112577;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.epsl.2021.116877;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.epsl.2021.116962;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.epsl.2021.116967;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.epsl.2021.117056;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.epsl.2021.117110;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.foodpol.2021.102188;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.foreco.2021.119166;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.gca.2021.05.050;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.gca.2021.06.018;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.gca.2021.06.024;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.gca.2021.06.037;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.geothermics.2021.102130;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.geothermics.2021.102270;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.gloenvcha.2021.102226;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.gloplacha.2021.103704;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ic.2021.104808;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ijdrr.2021.102197;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ijdrr.2021.102254;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ijggc.2021.103378;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ijggc.2021.103399;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ijheatmasstransfer.2021.122109;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
ETH Zurich;2020;10.1016/j.ijmecsci.2021.106389;TRUE;Swiss Consortium Elsevier agreement;15.06.2022
