Institution;period;currency;apc;doi;is_hybrid;publisher;journal_full_title;issn;license_ref;url
Bern University of Applied Sciences;30.11.2021;EUR;1090.00;10.1080/21642583.2022.2068166;FALSE;Taylor & Francis;Systems Science & Control Engineering;2164-2583;CC BY;https://doi.org/10.1080/21642583.2022.2068166
Bern University of Applied Sciences;10.01.2022;EUR;1600.00;10.3233/THC-213629;TRUE;IOS Press;Technology and Health Care;0928-7329;CC BY NC;https://content.iospress.com/articles/technology-and-health-care/thc213629
Bern University of Applied Sciences;10.10.2022;USD;1238.55;10.3389/frai.2022.1000283;FALSE;Frontiers Research Foundation;Frontiers in Artificial Intelligence;2624-8212;CC BY;https://www.frontiersin.org/articles/10.3389/frai.2022.1000283/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Artificial_Intelligence&id=1000283
Bern University of Applied Sciences;2022;USD;484.65;10.3389/frobt.2022.997386;FALSE;Frontiers Research Foundation;Frontiers in Robotics and AI;2296-9144;CC BY;https://www.frontiersin.org/articles/10.3389/frobt.2022.997386/full
Bern University of Applied Sciences;21.06.2022;CHF;1760.00;10.3390/foods11131863;FALSE;MDPI;Foods;2304-8158;CC BY;https://www.mdpi.com/2304-8158/11/13/1863
Bern University of Applied Sciences;2022;CHF;2154.00;10.3390/ijerph19063644;FALSE;MDPI;International Journal of Environmental Research and Public Health;1660-4601;CC BY;https://www.mdpi.com/1660-4601/19/6/3644
Bern University of Applied Sciences;30.11.2022;EUR;3607.95;10.1111/ijmr.12321;TRUE;Wiley-Blackwell;International Journal of Management Reviews;1460-8545;CC BY;https://onlinelibrary.wiley.com/doi/10.1111/ijmr.12321
Bern University of Applied Sciences;25.02.2022;USD;1238.55;10.3389/fdata.2022.863100;FALSE;Frontiers;Frontiers in Big Data;2624-909X;CC BY;https://www.frontiersin.org/article/10.3389/fdata.2022.863100
Bern University of Applied Sciences;16.05.2022;CHF;1723.20;10.3390/en15041514;FALSE;MDPI;Energies;1996-1073;CC BY;https://www.mdpi.com/1996-1073/15/4/1514
Bern University of Applied Sciences;26.07.2022;CHF;1981.68;10.3390/app12168038;FALSE;MDPI;Applied Sciences;2076-3417;CC BY;https://www.mdpi.com/2076-3417/12/16/8038
Bern University of Applied Sciences;15.02.2022;EUR;1771.67;10.1186/s40795-022-00509-8;FALSE;BioMed Central;BMC Nutrition;2055-0928;CC BY;https://bmcnutr.biomedcentral.com/articles/10.1186/s40795-022-00509-8
Bern University of Applied Sciences;02.03.2022;CHF;2530.95;10.3390/nu14051088;FALSE;MDPI;Nutrients;2072-6643;CC BY;https://www.mdpi.com/2072-6643/14/5/1088
Bern University of Applied Sciences;16.06.2022;CHF;1723.20;10.3390/su14127462;FALSE;MDPI;Sustainability;2071-1050;CC BY;https://www.mdpi.com/2071-1050/14/12/7462
Bern University of Applied Sciences;11.04.2022;CHF;2154.00;10.3390/ijerph19074309;FALSE;MDPI;International Journal of Environmental Research and Public Health;1660-4601;CC BY;https://www.mdpi.com/1660-4601/19/7/4309
Bern University of Applied Sciences;11.02.2022;CHF;1830.90;10.3390/ma15041413;TRUE;MDPI;Materials and Structures;1359-5997;CC BY;https://www.mdpi.com/1996-1944/15/4/1413
Bern University of Applied Sciences;30.04.2022;CHF;2240.16;10.3390/nu14091741;FALSE;MDPI;Nutrients;2072-6643;CC BY;https://www.mdpi.com/2072-6643/14/9/1741
Bern University of Applied Sciences;2022;CHF;1389.33;10.3390/children9121985;FALSE;MDPI;Children;2227-9067;CC BY;https://www.mdpi.com/2227-9067/9/12/1985
Bern University of Applied Sciences;2022;CHF;1033.92;10.3390/jrfm15080370;FALSE;MDPI;Journal of Risk and Financial Management;1911-8074;CC BY;https://www.mdpi.com/1911-8074/15/8/370
Bern University of Applied Sciences;2022;CHF;1723.20;10.3390/f13091432;FALSE;MDPI;Forests;1999-4907;CC BY;https://www.mdpi.com/1999-4907/13/9/1432
Bern University of Applied Sciences;2022;CHF;1623.08;10.3390/su14105988;FALSE;MDPI;Sustainability;2071-1050;CC BY;https://www.mdpi.com/2071-1050/14/10/5988
Bern University of Applied Sciences;2022;CHF;1206.24;10.3390/sports10050074;FALSE;MDPI;Sports;2075-4663;CC BY;https://www.mdpi.com/2075-4663/10/5/74
Bern University of Applied Sciences;2022;CHF;1507.80;10.3390/sports10040049;FALSE;MDPI;Sports;2075-4663;CC BY;https://www.mdpi.com/2075-4663/10/4/49
Bern University of Applied Sciences;2022;GBP;2383.23;10.1177/13563890221136890;TRUE;SAGE;Evaluation;1461-7153;CC BY;https://journals.sagepub.com/doi/full/10.1177/13563890221136890
Bern University of Applied Sciences;14.09.2022;USD;3177.15;10.3389/fpsyt.2022.983999;FALSE;Frontiers Research Foundation;Frontiers in Psychiatry-Social Psychiatry and Psychiatric Rehabilitation;1664-0640;CC BY;https://www.frontiersin.org/articles/10.3389/fpsyt.2022.983999/full
Bern University of Applied Sciences;21.12.2021;USD;753.9;10.3389/fsufs.2021.775716;FALSE;Frontiers Research Foundation;Frontiers in Sustainable Food Systems;2571-581X;CC BY;https://doi.org/10.3389/fsufs.2021.775716
Bern University of Applied Sciences;19.01.2022;USD;750;10.46882/IJAS/1138 ;FALSE;ISJ International Scholars Journals;International Journal of Agroforestry and Silviculture;2375-1096;Unknown;https://cdn.internationalscholarsjournals.org/?id=106811388854488301.PDF&op=inline
